fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
8/2/2021,FEB 21,P01,NORTE,377359,6473238,EXTRA,AdM - AT,1,0,0,1,"0,0280000008642674",SIOSEL_PAJONAL,5,1,1,1,0,0,P01,3
12/2/2022,FEB 22,P01,NORTE,377359,6473238,EXTRA,GN-NP,0,0,0,0,0,SIOSEL_PAJONAL,0,0,0,0,0,0,P01,3
7/8/2022,AGO 22,P01,SUR,377359,6473238,PRIMARIA,AT-RD-SR-GC,1,0,1,0,0,SIOSEL_PAJONAL,,1,1,0,1,0,P01,3
6/8/2021,AGO 21,P02,NORTE,379881,6471466,EXTRA,AT-AdM,1,1,4,3,"0,131999999284744",SIOSEL_PAJONAL,5,8,1,1,1,1,P02,3
2/8/2022,AGO 22,P02,NORTE,379881,6471466,EXTRA,RD-SRV,0,0,0,0,0,SIOSEL_PAJONAL,15,0,0,0,0,0,P02,3
11/2/2022,FEB 22,P02,NORTE,379881,6471466,EXTRA,AF-RD,0,0,0,0,0,SIOSEL_PAJONAL,0,0,0,0,0,0,P02,7
8/2/2021,FEB 21,P02,NORTE,379881,6471466,EXTRA,GN - VL - RD,1,0,0,1,"0,0359999984502792",SIOSEL_PAJONAL,5,1,1,1,0,0,P02,7
11/2/2022,FEB 22,P03,NORTE,378802,6471540,EXTRA,MP-AdM,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P03,2
4/8/2021,AGO 21,P03,NORTE,378802,6471540,EXTRA,AdM-SS-JA,1,0,0,1,"0,068000003695488",SIOSEL_PAJONAL,0,1,1,1,0,0,P03,3
6/8/2022,AGO 22,P03,NORTE,378802,6471540,EXTRA,AT-ER-SR-SM,1,0,3,50,"2,60999989509583",SIOSEL_PAJONAL,30,53,1,1,1,0,P03,3
8/2/2021,FEB 21,P03,NORTE,378802,6471540,EXTRA,GN - VL - RD,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P03,7
9/8/2022,AGO 22,P04,NORTE,384472,6471915,EXTRA,RD-SRV-NM,1,0,5,0,0,SIOSEL_PAJONAL,5,5,1,0,1,0,P04,3
2/8/2021,AGO 21,P04,NORTE,384472,6471915,EXTRA,AdM-SS-JA,1,0,1,0,0,SIOSEL_PAJONAL,20,1,1,0,1,0,P04,3
9/2/2022,FEB 22,P04,NORTE,384472,6471915,EXTRA,MP-AdM,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P04,7
8/2/2021,FEB 21,P04,NORTE,384472,6471915,EXTRA,AdM - AT,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P04,7
2/8/2022,AGO 22,P05,NORTE,381416,6471241,EXTRA,RD-SRV,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P05,2
2/8/2021,AGO 21,P05,NORTE,381416,6471241,EXTRA,GN-CS-NM,1,0,0,4,"1,16400003433228",SIOSEL_PAJONAL,5,4,1,1,0,0,P05,3
8/2/2021,FEB 21,P05,NORTE,381416,6471241,EXTRA,GN - FS - VL - NM - RD,1,0,0,1,"0,0500000007450581",SIOSEL_PAJONAL,1,1,1,1,0,0,P05,7
9/2/2022,FEB 22,P05,NORTE,381416,6471241,EXTRA,MP-AdM,1,1,0,4,"0,0949999988079071",SIOSEL_PAJONAL,0,5,1,1,0,1,P05,7
7/8/2022,AGO 22,P06,NORTE,376894,6472111,EXTRA,AT-GC,1,0,0,50,"3,29699993133545",SIOSEL_PAJONAL,5,50,1,1,0,0,P06,3
4/8/2021,AGO 21,P06,NORTE,376894,6472111,EXTRA,AT-PAF-BD,1,2,6,57,"3,73699998855591",SIOSEL_PAJONAL,45,65,1,1,1,1,P06,3
12/2/2022,FEB 22,P06,NORTE,376894,6472111,EXTRA,MP-AdM,1,1,0,4,"0,0399999991059303",SIOSEL_PAJONAL,5,5,1,1,0,1,P06,3
8/2/2021,FEB 21,P06,NORTE,376894,6472111,EXTRA,AdM - FS,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P06,7
5/8/2021,AGO 21,P07,NORTE,377697,6472287,EXTRA,GN-CS-NM-SS,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P07,3
8/2/2021,FEB 21,P07,NORTE,377697,6472287,EXTRA,NM - AT,1,0,0,3,"0,560999989509583",SIOSEL_PAJONAL,0,3,1,1,0,0,P07,3
7/8/2022,AGO 22,P07,NORTE,377697,6472287,EXTRA,RD-SRV,1,0,3,1,"0,0890000015497208",SIOSEL_PAJONAL,50,4,1,1,1,0,P07,3
12/2/2022,FEB 22,P07,NORTE,377697,6472287,EXTRA,MP-AdM,1,1,0,5,"0,0790000036358833",SIOSEL_PAJONAL,5,6,1,1,0,1,P07,3
9/2/2022,FEB 22,P08,NORTE,383242,6471431,EXTRA,AF-RD,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P08,2
8/2/2021,FEB 21,P08,NORTE,383242,6471431,EXTRA,GN - FS - VL - NM - RD,0,0,0,0,0,SIOSEL_PAJONAL,1,0,0,0,0,0,P08,2
2/8/2022,AGO 22,P08,NORTE,383242,6471431,EXTRA,AdM-GC,1,0,1,17,"1,29999995231628",SIOSEL_PAJONAL,5,18,1,1,1,0,P08,3
2/8/2021,AGO 21,P08,NORTE,383242,6471431,EXTRA,AdM-SS-JA,1,0,1,3,"0,0979999974370003",SIOSEL_PAJONAL,5,4,1,1,1,0,P08,3
11/8/2021,AGO 21,P09,SUR,376066,6470998,EXTRA,PAF-JA,1,0,4,19,"1,08700001239777",SIOSEL_PAJONAL,10,23,1,1,1,0,P09,3
8/8/2022,AGO 22,P09,SUR,376066,6470998,EXTRA,RD-SRV-NM,1,0,0,3,"0,0920000001788139",SIOSEL_PAJONAL,5,3,1,1,0,0,P09,3
9/2/2021,FEB 21,P09,SUR,376066,6470998,EXTRA,FS - VL - RD,1,0,1,0,0,SIOSEL_PAJONAL,1,1,1,0,1,0,P09,7
16/2/2022,FEB 22,P09,SUR,376066,6470998,EXTRA,AF-RD,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P09,7
9/2/2021,FEB 21,P10,SUR,375451,6470143,EXTRA,AdM - AT,1,0,1,0,0,SIOSEL_PAJONAL,5,1,1,0,1,0,P10,3
8/8/2022,AGO 22,P10,SUR,375451,6470143,EXTRA,AT-ER-SM,0,0,0,0,0,SIOSEL_PAJONAL,0,0,0,0,0,0,P10,3
11/8/2021,AGO 21,P10,SUR,375451,6470143,EXTRA,AdM-AT,1,3,2,1,"0,0320000015199184",SIOSEL_PAJONAL,20,6,1,1,1,1,P10,3
